userWallet,num_deposits,num_borrows,num_liquidation_calls,first_tx,last_tx,num_transactions,active_days,tx_frequency
0x00000000001accfa9cef68cf5371a23025b6d4b6,1,0,0,1970-01-01 00:00:01.629178166,1970-01-01 00:00:01.629178166,1,1,1.0
0x000000000051d07a4fb3bd10121a343d85818da6,1,0,0,1970-01-01 00:00:01.621525013,1970-01-01 00:00:01.621525013,1,1,1.0
0x000000000096026fb41fc39f9875d164bd82e2dc,2,0,0,1970-01-01 00:00:01.627118913,1970-01-01 00:00:01.627773318,2,1,2.0
0x0000000000e189dd664b9ab08a33c4839953852c,0,0,0,1970-01-01 00:00:01.618845797,1970-01-01 00:00:01.630019716,17,1,17.0
0x0000000002032370b971dabd36d72f3e5a7bf1ee,250,15,0,1970-01-01 00:00:01.619040510,1970-01-01 00:00:01.630520124,399,1,399.0
0x000000000a38444e0a6e37d3b630d7e855a7cb13,7,8,0,1970-01-01 00:00:01.623505777,1970-01-01 00:00:01.626899584,25,1,25.0
0x000000003853fcedcd0355fec98ca3192833f00b,8,0,0,1970-01-01 00:00:01.627797709,1970-01-01 00:00:01.628479336,8,1,8.0
0x000000003ce0cf2c037493b1dc087204bd7f713e,309,30,0,1970-01-01 00:00:01.619880579,1970-01-01 00:00:01.630551109,492,1,492.0
0x000000007858e6f2668e1e06111cfa24403a5466,1,0,0,1970-01-01 00:00:01.622940459,1970-01-01 00:00:01.622940459,1,1,1.0
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,0,0,1970-01-01 00:00:01.627011681,1970-01-01 00:00:01.627011681,1,1,1.0
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,26,24,0,1970-01-01 00:00:01.619794594,1970-01-01 00:00:01.622443289,69,1,69.0
0x00000029ff545c86524ade7caf132527707948c4,12,12,0,1970-01-01 00:00:01.618366710,1970-01-01 00:00:01.618548540,47,1,47.0
0x00000087c4cebffb95746d1935de7fbcab092f40,86,62,0,1970-01-01 00:00:01.621917729,1970-01-01 00:00:01.630601558,250,1,250.0
0x000000e28faa823d5b53ff6c2922c28335840375,107,66,0,1970-01-01 00:00:01.618716573,1970-01-01 00:00:01.630571172,297,1,297.0
0x000006eee6e39015cb523aebdd4d0b1855aba682,11,4,0,1970-01-01 00:00:01.618414131,1970-01-01 00:00:01.621981969,28,1,28.0
0x00000a9c78912badb92d73b6ed26456e11def5eb,1,0,0,1970-01-01 00:00:01.627211419,1970-01-01 00:00:01.627211419,1,1,1.0
0x00001bc47f0973f794f79c16121cee879e272d6a,0,0,0,1970-01-01 00:00:01.624532577,1970-01-01 00:00:01.628593748,4,1,4.0
0x00002b503a75998c97508916a74fdb41934fa030,27,47,0,1970-01-01 00:00:01.619765397,1970-01-01 00:00:01.630593178,147,1,147.0
0x0000897253cc85f7547317eb2080b36b3255687a,1,0,0,1970-01-01 00:00:01.629140281,1970-01-01 00:00:01.629443943,2,1,2.0
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1,0,0,1970-01-01 00:00:01.627203451,1970-01-01 00:00:01.627203451,1,1,1.0
0x0000ce08fa224696a819877070bf378e8b131acf,3,1,0,1970-01-01 00:00:01.620256203,1970-01-01 00:00:01.626803589,14,1,14.0
0x00010a708585ba4812a1c5976182626c75cb7a6b,9,6,0,1970-01-01 00:00:01.623308418,1970-01-01 00:00:01.630178589,29,1,29.0
0x00016fc0c9f7620e920e1423fd455f9574f48025,2,0,0,1970-01-01 00:00:01.626534982,1970-01-01 00:00:01.626676823,2,1,2.0
0x0002761e848b24046a53d494847b11a3e1d36b09,1,0,0,1970-01-01 00:00:01.626505373,1970-01-01 00:00:01.626505373,1,1,1.0
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,2,0,0,1970-01-01 00:00:01.626136491,1970-01-01 00:00:01.626753715,2,1,2.0
0x0003816b25fd3d6c112eb65c089760fa3f791947,1,1,0,1970-01-01 00:00:01.621845439,1970-01-01 00:00:01.621845587,4,1,4.0
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,12,5,0,1970-01-01 00:00:01.621112248,1970-01-01 00:00:01.629825131,37,1,37.0
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,1,0,0,1970-01-01 00:00:01.620883152,1970-01-01 00:00:01.620883236,2,1,2.0
0x0003f46779806fe779e7f30eec95dbdb4d45840b,8,6,0,1970-01-01 00:00:01.623421735,1970-01-01 00:00:01.630579664,24,1,24.0
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,2,3,0,1970-01-01 00:00:01.623429689,1970-01-01 00:00:01.630516926,10,1,10.0
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,1,1,0,1970-01-01 00:00:01.630396737,1970-01-01 00:00:01.630396946,2,1,2.0
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,2,1,0,1970-01-01 00:00:01.621691579,1970-01-01 00:00:01.621691955,6,1,6.0
0x0005696d4be2359526c497fe4a4c0620b41f2426,1,1,0,1970-01-01 00:00:01.623251602,1970-01-01 00:00:01.623307156,7,1,7.0
0x000660cad76200a2e326f53e033919905e6c50f5,1,0,0,1970-01-01 00:00:01.626365624,1970-01-01 00:00:01.626365624,1,1,1.0
